task_type,domain,input_language,privacy_requirement,hardware_available,hallucination_tolerance,determinism_needed,temperature_pref,output_style,best_model,score_GPT-4o,score_Gemini,score_Claude-2,score_Llama-3-70B,score_Deepseek
reasoning,ecommerce,multi,cloud,consumer_gpu,low,1,medium,precise,Claude-2,2.797,2.584,4.748,0.6,-0.906
generation,legal,multi,cloud,edge,high,0,low,precise,Gemini,0.015,4.349,2.296,0.252,3.674
reasoning,legal,multi,local,consumer_gpu,low,1,medium,creative,Claude-2,1.377,1.347,3.508,3.137,2.158
reasoning,medical,multi,local,cpu,high,1,high,factual,Llama-3-70B,0.415,0.873,2.243,4.024,2.861
reasoning,general,en,hybrid,cpu,high,0,low,formal,Deepseek,2.344,0.154,2.491,2.332,2.739
extraction,ecommerce,pt,local,cpu,high,0,high,factual,Deepseek,-1.921,-0.756,-2.201,5.647,5.69
classification,legal,multi,local,pro_gpu,high,1,high,creative,Llama-3-70B,-0.128,0.423,2.491,5.505,2.316
summarization,general,en,local,cpu,low,0,low,precise,Llama-3-70B,-0.303,1.762,-0.199,3.589,3.049
extraction,general,multi,local,edge,medium,1,medium,factual,Deepseek,-1.837,-1.356,-1.356,4.158,5.068
reasoning,medical,pt,cloud,cpu,low,0,high,creative,Claude-2,2.514,2.894,3.134,1.678,2.283
classification,medical,multi,cloud,pro_gpu,medium,0,medium,factual,Claude-2,0.835,3.79,5.449,3.23,-0.264
reasoning,finance,multi,cloud,cpu,low,0,high,factual,Claude-2,1.796,3.509,5.51,1.749,0.275
extraction,medical,multi,cloud,consumer_gpu,high,1,low,formal,Llama-3-70B,1.366,2.817,2.356,3.754,2.13
classification,general,pt,cloud,consumer_gpu,high,0,medium,formal,Llama-3-70B,1.035,1.597,1.573,2.937,1.184
generation,legal,en,hybrid,pro_gpu,low,0,low,formal,Gemini,0.597,5.584,3.621,2.211,3.574
extraction,medical,pt,cloud,consumer_gpu,high,0,high,factual,Deepseek,1.095,3.015,1.811,3.316,3.417
extraction,general,en,local,consumer_gpu,low,1,medium,precise,Deepseek,-1.559,0.895,0.884,4.251,4.511
summarization,technical,multi,cloud,consumer_gpu,low,0,medium,factual,Gemini,2.358,4.448,2.657,0.438,-0.515
reasoning,medical,multi,local,consumer_gpu,low,1,medium,factual,Claude-2,0.587,1.924,4.087,3.204,1.918
summarization,general,en,cloud,cpu,high,1,medium,precise,Gemini,1.883,2.524,1.274,1.878,1.626
summarization,technical,multi,cloud,consumer_gpu,medium,1,medium,factual,Gemini,3.107,3.173,1.701,1.066,-0.315
extraction,general,pt,local,cpu,medium,0,high,formal,Llama-3-70B,-2.003,-1.783,-3.485,5.851,5.621
generation,technical,multi,cloud,cpu,low,0,high,factual,Gemini,-0.382,3.701,2.03,1.472,1.753
extraction,legal,pt,cloud,consumer_gpu,high,1,high,formal,Deepseek,1.008,2.21,0.94,3.49,4.024
generation,finance,pt,hybrid,consumer_gpu,medium,0,medium,creative,Deepseek,1.478,4.793,1.199,2.356,5.352
reasoning,medical,multi,cloud,cpu,high,0,high,formal,Claude-2,2.274,1.778,3.689,2.545,1.019
reasoning,legal,pt,cloud,consumer_gpu,low,1,medium,creative,Claude-2,3.075,3.236,3.959,0.84,1.687
summarization,finance,pt,cloud,consumer_gpu,low,0,high,precise,Gemini,2.747,6.109,2.691,1.012,1.17
reasoning,finance,en,hybrid,cpu,high,1,low,precise,Claude-2,2.051,2.579,4.742,3.64,3.302
generation,ecommerce,multi,cloud,consumer_gpu,medium,1,high,creative,Gemini,1.325,3.124,0.873,0.762,2.075
extraction,medical,en,hybrid,cpu,medium,1,medium,factual,Deepseek,0.163,2.279,1.959,5.279,5.355
reasoning,ecommerce,pt,cloud,cpu,low,0,low,precise,Claude-2,1.83,1.672,2.36,1.299,1.42
summarization,legal,pt,cloud,consumer_gpu,low,0,medium,precise,Gemini,2.634,6.053,2.716,1.091,1.291
classification,finance,multi,cloud,cpu,low,1,low,formal,Claude-2,0.141,3.158,5.017,4.382,0.682
classification,legal,multi,cloud,cpu,high,0,high,formal,Llama-3-70B,0.028,1.981,3.84,4.211,0.704
classification,legal,en,hybrid,consumer_gpu,medium,0,high,precise,Claude-2,1.059,3.293,5.239,4.362,2.64
classification,legal,en,local,consumer_gpu,medium,0,low,factual,Llama-3-70B,-0.786,1.238,3.388,5.293,3.58
extraction,legal,multi,local,cpu,high,1,low,precise,Llama-3-70B,-1.138,0.656,0.53,6.47,4.882
reasoning,ecommerce,multi,cloud,consumer_gpu,low,0,low,formal,Claude-2,2.343,1.926,3.719,0.503,-0.82
extraction,ecommerce,multi,cloud,cpu,low,0,medium,creative,Llama-3-70B,0.218,1.504,1.302,3.506,2.368
extraction,ecommerce,pt,cloud,consumer_gpu,high,0,high,factual,Deepseek,1.171,1.482,0.378,3.034,3.111
extraction,finance,en,hybrid,consumer_gpu,medium,0,medium,factual,Deepseek,0.765,3.021,3.319,4.11,4.393
generation,ecommerce,multi,hybrid,pro_gpu,high,0,medium,formal,Gemini,0.727,3.17,0.753,1.91,2.425
generation,finance,pt,hybrid,cpu,high,1,medium,formal,Deepseek,0.061,3.816,0.252,2.992,4.898
classification,technical,multi,local,consumer_gpu,low,0,medium,formal,Llama-3-70B,-1.893,0.07,1.687,4.519,0.947
generation,finance,en,cloud,consumer_gpu,high,1,medium,factual,Gemini,1.136,5.14,3.134,1.646,3.567
extraction,medical,multi,cloud,consumer_gpu,low,1,high,factual,Gemini,0.563,4.294,3.893,3.151,1.622
summarization,medical,multi,cloud,consumer_gpu,medium,1,high,factual,Gemini,2.797,5.151,3.192,1.473,0.067
summarization,technical,pt,local,consumer_gpu,high,0,low,formal,Deepseek,1.286,1.216,-2.762,3.124,3.266
extraction,finance,en,local,consumer_gpu,high,0,low,factual,Llama-3-70B,-0.923,1.418,1.602,5.705,5.55
classification,general,pt,cloud,consumer_gpu,low,0,medium,formal,Claude-2,0.709,2.029,2.505,2.43,0.813
generation,general,multi,cloud,consumer_gpu,medium,1,high,creative,Gemini,1.536,3.306,1.1,0.72,2.274
summarization,technical,en,cloud,cpu,high,1,low,creative,Deepseek,2.78,2.625,0.677,1.982,2.825
extraction,ecommerce,multi,local,consumer_gpu,high,0,medium,formal,Llama-3-70B,-0.609,-1.101,-1.212,5.296,3.893
classification,legal,pt,hybrid,pro_gpu,medium,1,medium,formal,Llama-3-70B,1.001,2.702,3.268,4.152,2.203
extraction,general,multi,local,edge,high,1,high,precise,Deepseek,-1.754,-0.963,-1.187,3.824,5.397
generation,medical,pt,local,cpu,medium,0,medium,formal,Deepseek,-1.906,1.633,-1.732,4.611,6.471
reasoning,ecommerce,pt,cloud,consumer_gpu,medium,0,high,precise,GPT-4o,3.083,1.793,2.209,1.112,0.494
extraction,ecommerce,en,local,edge,high,1,low,precise,Deepseek,-1.759,-0.952,-1.23,4.377,6.759
reasoning,technical,en,hybrid,pro_gpu,medium,0,medium,creative,GPT-4o,4.051,1.315,2.907,1.77,2.485
reasoning,technical,pt,local,cpu,medium,1,medium,creative,Deepseek,0.81,-1.761,-1.452,3.574,4.625
generation,legal,en,cloud,consumer_gpu,medium,0,high,formal,Gemini,1.126,4.339,2.679,1.374,3.551
reasoning,medical,en,cloud,consumer_gpu,low,0,medium,formal,Claude-2,2.664,3.493,5.591,0.897,0.961
summarization,technical,pt,hybrid,cpu,low,0,high,precise,Gemini,1.659,3.751,0.365,1.79,2.002
summarization,general,pt,hybrid,consumer_gpu,high,1,high,creative,GPT-4o,3.643,2.949,-0.548,1.788,2.596
extraction,general,en,cloud,consumer_gpu,high,1,medium,formal,Deepseek,1.175,0.87,0.759,2.792,2.903
extraction,medical,en,cloud,consumer_gpu,low,1,medium,creative,Deepseek,1.13,3.346,3.241,2.909,3.736
extraction,medical,en,hybrid,pro_gpu,medium,0,high,factual,Deepseek,1.119,3.089,3.117,4.115,4.294
generation,technical,pt,cloud,cpu,high,0,medium,precise,Deepseek,0.03,3.015,-0.957,1.728,3.86
extraction,medical,pt,cloud,cpu,medium,1,medium,formal,Deepseek,0.237,2.239,0.27,4.099,4.281
reasoning,finance,pt,cloud,pro_gpu,medium,1,medium,factual,Claude-2,2.645,3.184,3.533,1.683,1.39
summarization,ecommerce,pt,hybrid,consumer_gpu,low,1,low,factual,Gemini,2.777,4.873,1.848,1.536,1.967
reasoning,legal,pt,local,pro_gpu,medium,0,low,factual,Llama-3-70B,1.163,1.296,1.774,3.579,3.114
reasoning,legal,multi,cloud,pro_gpu,medium,1,medium,creative,Claude-2,3.644,2.669,4.49,1.219,0.69
reasoning,general,multi,cloud,cpu,medium,1,high,creative,GPT-4o,3.241,0.449,2.188,1.99,0.927
reasoning,technical,en,cloud,consumer_gpu,high,1,medium,creative,GPT-4o,3.359,0.815,3.313,0.945,1.651
reasoning,general,en,hybrid,edge,low,0,medium,precise,Claude-2,1.44,2.081,4.025,0.744,2.768
generation,technical,multi,cloud,pro_gpu,low,1,high,precise,Gemini,0.559,4.397,2.995,0.266,1.043
reasoning,technical,pt,hybrid,consumer_gpu,medium,1,high,factual,GPT-4o,2.781,1.582,2.033,1.678,1.692
classification,general,pt,cloud,consumer_gpu,high,1,high,precise,Llama-3-70B,0.89,1.867,1.979,3.044,1.244
extraction,technical,en,cloud,consumer_gpu,medium,1,medium,formal,Llama-3-70B,0.897,0.856,0.954,3.236,3.039
summarization,general,pt,local,consumer_gpu,high,0,low,formal,Llama-3-70B,0.894,1.097,-2.72,3.136,3.082
reasoning,general,pt,cloud,pro_gpu,high,0,low,factual,GPT-4o,2.938,1.532,2.023,1.107,1.246
extraction,general,pt,cloud,cpu,high,1,medium,formal,Deepseek,0.073,0.292,-1.717,3.683,3.794
summarization,technical,en,cloud,cpu,high,0,low,creative,GPT-4o,2.718,2.013,0.066,1.858,2.463
generation,medical,en,cloud,pro_gpu,medium,1,low,formal,Gemini,0.852,4.376,2.679,1.892,3.25
extraction,ecommerce,en,local,consumer_gpu,high,1,high,precise,Deepseek,-1.1,-0.405,-0.022,4.923,5.077
generation,finance,multi,cloud,cpu,medium,1,medium,precise,Gemini,0.228,3.974,2.554,2.343,2.902
summarization,medical,pt,cloud,pro_gpu,low,1,medium,factual,Gemini,3.285,5.783,3.045,0.943,1.057
extraction,general,multi,hybrid,edge,medium,1,low,factual,Deepseek,0.291,0.915,0.886,3.166,3.797
generation,ecommerce,pt,local,consumer_gpu,low,1,high,factual,Deepseek,-1.35,2.617,-1.026,2.41,4.751
reasoning,legal,pt,local,consumer_gpu,medium,0,medium,creative,Deepseek,1.593,0.572,0.854,3.652,4.337
reasoning,technical,pt,cloud,pro_gpu,high,1,medium,precise,GPT-4o,3.37,1.665,2.334,1.02,1.259
reasoning,legal,pt,cloud,consumer_gpu,high,1,high,factual,Claude-2,2.856,3.349,3.661,1.487,1.518
generation,technical,multi,cloud,consumer_gpu,low,0,high,creative,Gemini,1.25,3.977,2.043,0.816,1.897
summarization,general,en,cloud,pro_gpu,high,0,low,creative,GPT-4o,3.874,2.909,0.822,1.191,1.875
summarization,general,en,cloud,consumer_gpu,medium,1,medium,creative,GPT-4o,3.995,2.879,0.954,0.672,1.622
generation,general,pt,cloud,pro_gpu,low,1,low,formal,Gemini,0.999,4.207,0.928,0.762,2.865
generation,finance,pt,cloud,pro_gpu,low,1,medium,formal,Gemini,0.27,5.517,1.402,0.963,2.674
classification,legal,en,local,cpu,high,0,medium,factual,Llama-3-70B,-1.559,0.555,2.493,6.604,4.11
generation,medical,pt,local,cpu,high,0,medium,factual,Deepseek,-1.451,2.586,-1.147,4.527,6.079
generation,legal,en,hybrid,pro_gpu,low,0,low,factual,Gemini,0.335,6.078,4.094,1.589,4.045
generation,general,pt,local,consumer_gpu,medium,0,low,creative,Deepseek,-0.352,1.071,-2.614,2.636,5.754
extraction,technical,en,local,cpu,low,0,low,factual,Llama-3-70B,-2.682,-0.114,-0.374,5.697,5.482
classification,technical,multi,cloud,edge,high,0,low,precise,Claude-2,0.021,0.953,2.531,2.109,1.04
summarization,technical,multi,local,cpu,low,1,high,precise,Llama-3-70B,-0.247,2.154,0.046,3.358,1.469
reasoning,technical,pt,cloud,consumer_gpu,high,0,medium,creative,GPT-4o,3.508,0.975,1.519,0.774,2.182
reasoning,technical,en,cloud,consumer_gpu,medium,0,high,formal,GPT-4o,3.303,1.12,3.014,0.958,0.81
extraction,medical,en,local,consumer_gpu,high,0,low,formal,Llama-3-70B,-0.985,0.552,0.252,5.567,5.469
reasoning,medical,en,cloud,consumer_gpu,high,1,high,formal,Claude-2,2.618,2.328,4.417,1.878,1.611
classification,ecommerce,en,local,cpu,high,0,high,factual,Llama-3-70B,-2.067,-1.003,0.591,6.017,3.706
summarization,ecommerce,multi,cloud,consumer_gpu,high,1,medium,factual,Gemini,2.981,3.965,1.443,0.721,-0.617
generation,general,pt,cloud,cpu,low,0,low,formal,Deepseek,-0.092,2.896,-0.866,1.21,3.41
classification,finance,pt,cloud,consumer_gpu,medium,1,high,precise,Llama-3-70B,1.24,3.107,3.618,3.731,1.126
classification,medical,pt,local,cpu,low,1,low,factual,Llama-3-70B,-2.078,1.738,2.29,5.998,4.107
classification,medical,multi,local,pro_gpu,medium,0,high,precise,Llama-3-70B,-1.498,1.068,3.291,5.304,2.012
extraction,general,multi,cloud,consumer_gpu,low,0,low,formal,Llama-3-70B,0.589,1.931,2.034,2.307,0.959
extraction,finance,pt,cloud,consumer_gpu,high,0,high,factual,Deepseek,1.122,3.231,1.583,3.545,3.643
classification,technical,multi,cloud,consumer_gpu,high,1,low,formal,Llama-3-70B,0.89,1.532,3.233,3.385,0.039
summarization,ecommerce,en,cloud,consumer_gpu,high,1,medium,precise,Gemini,2.726,3.558,1.642,0.843,1.347
extraction,medical,en,cloud,consumer_gpu,high,1,high,formal,Deepseek,0.829,2.389,2.541,3.26,3.421
extraction,ecommerce,pt,cloud,consumer_gpu,high,1,medium,factual,Llama-3-70B,1.063,1.633,0.181,2.894,2.697
reasoning,finance,pt,local,edge,high,0,high,formal,Deepseek,0.064,-0.149,0.004,2.545,5.139
generation,general,en,hybrid,cpu,medium,0,high,precise,Deepseek,-0.054,3.241,0.94,2.926,4.453
extraction,ecommerce,multi,cloud,consumer_gpu,low,0,medium,precise,Gemini,0.864,2.855,2.811,2.547,0.95
summarization,legal,en,cloud,consumer_gpu,low,1,medium,creative,Gemini,3.44,5.528,3.107,0.777,1.663
extraction,finance,multi,hybrid,pro_gpu,high,1,medium,formal,Llama-3-70B,1.062,2.489,2.744,3.91,2.829
reasoning,technical,multi,cloud,edge,high,1,low,factual,Claude-2,1.936,1.152,2.981,0.384,1.127
classification,general,en,cloud,pro_gpu,medium,0,low,creative,Claude-2,1.956,1.208,3.117,2.974,1.816
reasoning,general,en,cloud,consumer_gpu,high,0,medium,formal,Claude-2,2.859,1.171,3.33,1.214,0.854
summarization,general,multi,local,consumer_gpu,medium,0,low,factual,Llama-3-70B,1.072,1.441,-0.186,3.09,1.126
generation,finance,pt,cloud,cpu,high,0,high,factual,Deepseek,-0.032,4.343,0.84,2.058,4.378
generation,general,en,cloud,pro_gpu,low,0,medium,formal,Gemini,0.55,3.961,1.849,0.71,2.831
reasoning,finance,multi,cloud,consumer_gpu,high,0,low,creative,Claude-2,3.603,2.378,4.598,1.428,0.672
generation,finance,en,local,consumer_gpu,low,1,medium,precise,Deepseek,-1.352,3.818,2.464,3.015,4.918
generation,legal,en,cloud,consumer_gpu,medium,0,medium,factual,Gemini,0.982,5.192,2.854,1.799,3.508
extraction,legal,en,cloud,pro_gpu,low,1,low,creative,Gemini,1.589,3.99,3.596,3.395,3.946
classification,technical,pt,cloud,consumer_gpu,low,1,low,precise,Claude-2,0.969,2.575,3.48,2.679,0.886
classification,medical,en,cloud,consumer_gpu,high,0,low,precise,Claude-2,1.094,3.058,5.058,3.478,1.321
extraction,finance,multi,local,cpu,high,0,medium,creative,Llama-3-70B,-0.932,-0.374,-0.881,6.225,5.292
generation,legal,pt,cloud,pro_gpu,high,1,low,factual,Gemini,0.974,5.253,2.022,2.066,3.863
classification,general,en,local,consumer_gpu,high,1,low,creative,Llama-3-70B,-0.121,-0.609,1.208,5.161,3.769
generation,technical,en,cloud,consumer_gpu,high,0,medium,factual,Gemini,0.65,3.622,1.732,0.981,2.917
extraction,ecommerce,pt,cloud,consumer_gpu,medium,0,low,formal,Llama-3-70B,0.811,1.122,-0.763,3.155,2.8
extraction,medical,en,cloud,pro_gpu,low,1,high,precise,Claude-2,0.35,3.907,4.1,3.195,3.103
generation,technical,en,cloud,edge,high,1,low,precise,Deepseek,0.496,3.104,0.779,0.234,4.644
reasoning,general,multi,hybrid,cpu,medium,1,high,formal,Llama-3-70B,2.466,-0.039,2.379,2.779,1.466
classification,technical,en,cloud,consumer_gpu,high,0,medium,formal,Claude-2,0.918,1.142,3.456,2.876,0.693
extraction,legal,en,hybrid,edge,medium,1,high,formal,Deepseek,-0.376,1.643,1.123,3.226,5.887
summarization,technical,pt,cloud,consumer_gpu,low,0,medium,formal,Gemini,2.537,4.085,0.544,0.756,0.31
reasoning,legal,multi,hybrid,edge,medium,0,high,creative,Claude-2,2.565,1.345,3.666,1.48,3.09
summarization,medical,pt,local,pro_gpu,medium,1,medium,factual,Llama-3-70B,1.237,2.964,0.033,3.805,3.647
generation,legal,pt,cloud,cpu,high,1,high,formal,Deepseek,0.556,3.369,0.095,2.153,4.444
extraction,legal,pt,local,consumer_gpu,high,1,low,factual,Llama-3-70B,-0.91,1.651,0.274,5.939,5.857
generation,legal,en,cloud,cpu,low,0,low,factual,Gemini,-0.498,5.231,3.65,1.956,3.792
classification,medical,en,cloud,consumer_gpu,low,0,low,formal,Claude-2,0.416,3.095,5.286,3.382,0.744
reasoning,ecommerce,en,local,pro_gpu,low,1,medium,creative,Deepseek,1.238,0.201,1.749,2.537,3.388
extraction,technical,en,local,consumer_gpu,high,0,high,creative,Deepseek,-0.298,-0.426,-1.334,5.212,5.665
reasoning,finance,pt,hybrid,cpu,high,1,high,creative,Deepseek,3.054,1.788,2.053,3.146,3.428
extraction,finance,multi,local,edge,low,1,medium,factual,Deepseek,-2.379,1.26,1.328,4.212,5.074
generation,medical,en,cloud,consumer_gpu,low,0,medium,factual,Gemini,0.53,6.024,4.058,1.237,3.287
classification,technical,multi,cloud,pro_gpu,high,0,medium,factual,Claude-2,0.952,1.709,3.519,3.235,-0.367
generation,finance,pt,cloud,consumer_gpu,high,0,medium,creative,Deepseek,2.088,4.324,0.924,1.546,4.329
generation,medical,multi,local,pro_gpu,low,0,low,creative,Deepseek,-0.843,3.325,1.676,3.144,4.017
reasoning,technical,en,cloud,pro_gpu,high,0,medium,factual,Claude-2,3.271,1.934,3.727,1.016,1.111
classification,legal,en,cloud,consumer_gpu,low,0,low,formal,Claude-2,0.328,3.506,5.07,3.175,0.688
classification,finance,en,cloud,pro_gpu,medium,1,high,formal,Claude-2,1.301,2.434,4.458,3.374,1.442
classification,legal,pt,cloud,pro_gpu,low,1,medium,factual,Claude-2,0.784,3.702,4.955,3.068,0.759
extraction,general,multi,hybrid,cpu,high,1,medium,factual,Llama-3-70B,-0.015,1.235,0.711,4.369,3.327
reasoning,general,multi,local,cpu,high,1,high,formal,Llama-3-70B,0.268,-1.988,0.243,3.595,2.52
classification,legal,pt,cloud,consumer_gpu,low,0,high,precise,Claude-2,0.712,4.306,4.772,3.352,1.0
generation,general,pt,cloud,edge,low,1,high,formal,Deepseek,-0.736,3.09,-0.083,-0.703,3.928
reasoning,technical,multi,cloud,cpu,medium,1,medium,factual,Claude-2,2.283,0.889,2.704,2.024,0.764
classification,finance,multi,cloud,consumer_gpu,low,1,medium,factual,Claude-2,0.539,4.019,5.89,3.052,-0.279
extraction,legal,multi,cloud,cpu,high,0,medium,precise,Llama-3-70B,0.295,2.4,2.282,4.082,2.967
reasoning,ecommerce,en,cloud,consumer_gpu,high,1,low,factual,Claude-2,3.483,1.691,4.318,1.415,1.58
extraction,technical,multi,cloud,pro_gpu,high,0,high,precise,Llama-3-70B,0.732,1.427,1.67,3.101,1.859
summarization,general,pt,cloud,consumer_gpu,low,0,high,factual,Gemini,2.641,4.651,0.995,0.746,0.307
reasoning,general,en,cloud,pro_gpu,low,0,high,formal,Claude-2,2.826,1.943,4.318,0.636,0.473
generation,medical,pt,cloud,consumer_gpu,medium,0,low,precise,Gemini,0.896,5.132,1.786,1.515,3.381
generation,finance,multi,cloud,edge,low,0,medium,precise,Gemini,-0.533,5.216,2.774,0.092,2.804
reasoning,finance,pt,local,consumer_gpu,high,1,high,precise,Deepseek,0.769,0.863,1.341,3.229,3.358
reasoning,finance,multi,cloud,consumer_gpu,high,1,high,creative,Claude-2,4.091,2.395,4.536,1.58,0.726
summarization,ecommerce,multi,cloud,edge,medium,0,low,precise,Gemini,1.985,2.461,0.99,0.361,0.663
classification,medical,en,local,pro_gpu,high,1,low,creative,Llama-3-70B,-0.205,0.744,2.607,5.901,4.354
generation,technical,en,local,consumer_gpu,low,1,low,precise,Deepseek,-0.767,3.238,1.043,3.005,5.021
reasoning,medical,pt,cloud,cpu,medium,0,low,creative,Deepseek,2.787,1.537,2.216,2.472,3.028
reasoning,ecommerce,pt,local,edge,low,0,medium,factual,Deepseek,-0.815,-0.461,0.185,1.485,4.395
extraction,medical,en,cloud,pro_gpu,high,0,low,creative,Deepseek,1.423,2.601,2.798,3.954,4.119
reasoning,finance,multi,hybrid,cpu,medium,0,high,creative,Claude-2,2.998,1.814,3.739,3.08,2.387
generation,finance,pt,cloud,pro_gpu,high,1,low,precise,Gemini,0.794,5.636,2.025,1.756,4.209
summarization,medical,pt,cloud,consumer_gpu,medium,1,high,creative,Gemini,3.565,4.419,1.398,1.334,2.09
generation,legal,pt,cloud,cpu,high,0,low,precise,Gemini,0.171,4.568,0.942,2.041,4.194
extraction,medical,en,cloud,pro_gpu,medium,0,low,creative,Deepseek,1.579,2.485,2.585,3.584,3.845
generation,ecommerce,en,cloud,cpu,low,1,high,creative,Deepseek,0.613,3.251,1.477,1.389,4.22
classification,finance,pt,cloud,consumer_gpu,high,1,high,precise,Claude-2,1.093,3.469,3.804,3.48,1.954
generation,medical,pt,local,consumer_gpu,high,0,medium,formal,Deepseek,-0.822,2.615,-1.255,3.242,5.559
classification,technical,en,cloud,consumer_gpu,high,1,medium,formal,Llama-3-70B,1.029,0.877,3.028,3.318,1.139
summarization,legal,multi,cloud,consumer_gpu,low,1,medium,factual,Gemini,2.272,6.178,4.039,0.922,-0.583
reasoning,general,pt,cloud,consumer_gpu,medium,0,medium,precise,GPT-4o,2.904,1.449,2.174,0.888,0.414
extraction,ecommerce,pt,cloud,consumer_gpu,high,0,medium,creative,Deepseek,2.111,1.218,-0.575,3.004,3.466
generation,ecommerce,en,cloud,consumer_gpu,high,0,high,formal,Gemini,1.339,3.379,1.031,1.205,3.035
reasoning,finance,pt,cloud,pro_gpu,high,1,medium,precise,Claude-2,2.733,3.118,3.726,1.409,1.456
extraction,technical,pt,cloud,consumer_gpu,high,1,low,factual,Deepseek,1.282,1.984,0.51,3.088,3.157
generation,ecommerce,pt,local,cpu,medium,0,high,creative,Deepseek,-1.357,0.396,-3.721,4.031,6.777
extraction,finance,en,cloud,consumer_gpu,low,0,low,creative,Deepseek,1.14,2.979,3.428,2.987,3.498
summarization,technical,pt,cloud,consumer_gpu,high,1,low,formal,Gemini,3.197,3.606,-0.067,1.115,0.98
generation,medical,multi,local,consumer_gpu,medium,1,low,creative,Deepseek,-0.065,2.757,0.899,3.693,5.102
extraction,ecommerce,en,local,pro_gpu,low,1,high,creative,Deepseek,-0.413,0.163,-0.01,4.463,5.129
classification,technical,multi,local,consumer_gpu,medium,0,low,factual,Llama-3-70B,-0.764,-0.425,1.709,5.01,1.4
extraction,finance,multi,cloud,consumer_gpu,medium,1,high,formal,Llama-3-70B,0.726,2.565,2.488,3.6,1.893
summarization,finance,pt,cloud,consumer_gpu,medium,1,low,precise,Gemini,3.544,5.325,2.342,1.45,1.887
summarization,legal,pt,cloud,cpu,high,1,high,factual,Gemini,2.295,4.241,0.985,2.556,1.857
summarization,general,pt,local,consumer_gpu,medium,1,high,formal,Llama-3-70B,1.101,0.501,-2.693,3.326,2.884
reasoning,ecommerce,en,cloud,consumer_gpu,medium,0,low,factual,Claude-2,2.765,1.66,4.114,0.634,0.79
extraction,general,multi,cloud,pro_gpu,high,1,medium,precise,Llama-3-70B,1.299,2.072,1.679,2.752,1.919
classification,general,multi,cloud,consumer_gpu,high,1,high,creative,Llama-3-70B,2.019,1.136,2.838,2.99,0.168
summarization,technical,multi,cloud,pro_gpu,medium,1,high,creative,GPT-4o,3.766,3.29,1.176,0.785,0.475
extraction,ecommerce,pt,cloud,consumer_gpu,high,0,high,precise,Deepseek,1.063,1.837,0.493,2.778,2.993
extraction,general,en,cloud,cpu,medium,1,high,precise,Llama-3-70B,0.094,0.586,0.969,4.302,3.432
reasoning,medical,en,cloud,cpu,high,1,high,precise,Claude-2,2.194,2.528,4.425,2.277,2.04
classification,technical,en,cloud,consumer_gpu,high,1,high,creative,Llama-3-70B,1.747,0.849,2.562,3.239,1.892
generation,finance,pt,cloud,cpu,medium,1,low,precise,Deepseek,0.51,4.746,1.415,2.645,4.781
generation,medical,pt,local,consumer_gpu,high,0,high,factual,Deepseek,-1.059,3.462,-0.236,3.539,5.246
generation,legal,en,local,cpu,low,0,medium,creative,Deepseek,-1.543,2.534,0.572,3.637,6.287
summarization,ecommerce,pt,local,pro_gpu,medium,1,low,factual,Deepseek,1.725,2.266,-1.116,3.055,3.314
summarization,legal,multi,local,consumer_gpu,high,1,low,creative,Llama-3-70B,1.741,2.661,0.616,4.048,2.921
summarization,finance,en,cloud,consumer_gpu,high,0,medium,factual,Gemini,3.214,5.321,3.661,1.204,1.752
reasoning,medical,pt,cloud,consumer_gpu,medium,1,medium,precise,Claude-2,3.229,3.005,3.901,1.567,1.455
extraction,technical,pt,cloud,consumer_gpu,medium,1,high,precise,Deepseek,0.835,1.556,0.61,3.0,3.156
generation,medical,en,local,consumer_gpu,high,1,medium,formal,Deepseek,-1.158,2.344,0.716,3.23,5.417
extraction,legal,multi,cloud,consumer_gpu,low,1,high,creative,Gemini,1.207,3.522,3.464,3.079,2.339
classification,general,pt,cloud,consumer_gpu,high,1,medium,formal,Llama-3-70B,1.147,0.803,1.443,3.239,1.179
generation,medical,pt,cloud,consumer_gpu,low,0,high,creative,Gemini,0.925,5.57,1.604,1.009,4.08
classification,general,multi,cloud,consumer_gpu,high,0,low,formal,Claude-2,0.81,0.833,3.153,2.691,-0.627
generation,medical,en,local,cpu,medium,1,medium,precise,Deepseek,-1.681,2.273,0.353,4.449,6.384
generation,legal,pt,cloud,cpu,medium,1,low,precise,Deepseek,0.553,4.632,1.274,2.575,4.692
generation,legal,en,cloud,edge,low,1,low,factual,Gemini,-0.299,5.463,3.302,0.293,4.638
classification,legal,multi,local,cpu,high,0,medium,precise,Llama-3-70B,-2.023,0.452,2.443,6.457,2.714
classification,general,pt,cloud,pro_gpu,medium,0,medium,formal,Llama-3-70B,1.082,1.11,1.589,2.835,1.03
classification,general,multi,cloud,cpu,medium,1,high,creative,Llama-3-70B,0.973,0.201,1.783,3.832,1.443
extraction,technical,en,cloud,consumer_gpu,high,0,high,formal,Deepseek,0.928,0.854,1.075,3.062,3.239
classification,finance,multi,local,consumer_gpu,high,1,medium,precise,Llama-3-70B,-1.252,1.346,3.318,5.472,2.068
reasoning,general,multi,hybrid,consumer_gpu,medium,1,low,factual,Claude-2,3.506,2.174,3.771,2.264,0.587
generation,technical,pt,cloud,cpu,medium,0,medium,factual,Deepseek,0.215,2.915,-0.63,2.038,3.783
classification,technical,multi,cloud,cpu,high,1,high,formal,Llama-3-70B,-0.024,0.121,2.236,4.046,0.421
